PID    NAME                         STATE
1      systemd                      S
2      kthreadd                     S
3      pool_workqueue_release       S
4      kworker/R-rcu_gp             I
5      kworker/R-sync_wq            I
6      kworker/R-kvfree_rcu_reclaim I
7      kworker/R-slub_flushwq       I
8      kworker/R-netns              I
12     kworker/u8:0-ipv6_addrconf   I
13     kworker/R-mm_percpu_wq       I
14     ksoftirqd/0                  S
15     rcu_preempt                  I
16     rcu_exp_par_gp_kthread_worker/0 S
17     rcu_exp_gp_kthread_worker    S
18     migration/0                  S
19     idle_inject/0                S
20     cpuhp/0                      S
21     cpuhp/1                      S
22     idle_inject/1                S
23     migration/1                  S
24     ksoftirqd/1                  S
26     kworker/1:0H-events_highpri  I
28     kworker/u10:0-ext4-rsv-conversion I
31     kdevtmpfs                    S
32     kworker/R-inet_frag_wq       I
33     rcu_tasks_kthread            I
34     rcu_tasks_rude_kthread       I
35     rcu_tasks_trace_kthread      I
36     kauditd                      S
37     khungtaskd                   S
38     oom_reaper                   S
39     kworker/u9:2-events_unbound  I
40     kworker/R-writeback          I
41     kcompactd0                   S
42     ksmd                         S
43     khugepaged                   S
44     kworker/R-kblockd            I
45     kworker/R-blkcg_punt_bio     I
46     kworker/R-kintegrityd        I
47     irq/9-acpi                   S
48     kworker/1:1-ata_sff          I
49     kworker/R-tpm_dev_wq         I
50     kworker/R-edac-poller        I
51     kworker/R-devfreq_wq         I
52     kworker/0:1H-kblockd         I
54     kswapd0                      S
62     kworker/R-kthrotld           I
64     kworker/R-acpi_thermal_pm    I
65     kworker/R-mld                I
67     kworker/1:1H-kblockd         I
68     kworker/R-ipv6_addrconf      I
69     kworker/u8:1-ipv6_addrconf   I
74     kworker/R-kstrp              I
80     kworker/u11:0                I
81     kworker/u12:0-ttm            I
82     kworker/u13:0-ttm            I
211    kworker/1:2-events           I
223    kworker/R-ata_sff            I
225    scsi_eh_0                    S
226    kworker/R-scsi_tmf_0         I
227    scsi_eh_1                    S
228    kworker/R-scsi_tmf_1         I
229    scsi_eh_2                    S
230    kworker/R-scsi_tmf_2         I
235    irq/18-vmwgfx                S
236    kworker/R-ttm                I
275    kworker/0:2H-kblockd         I
284    jbd2/sda1-8                  S
285    kworker/R-ext4-rsv-conversion I
347    systemd-journal              S
382    systemd-udevd                S
387    psimon                       S
494    haveged                      S
503    kworker/u10:3-ext4-rsv-conversion I
510    accounts-daemon              S
511    dbus-daemon                  S
526    systemd-logind               S
575    NetworkManager               S
587    kworker/R-rpciod             I
588    kworker/R-xprtiod            I
591    polkitd                      S
599    cron                         S
649    VBoxService                  S
750    lightdm                      S
791    Xorg                         S
792    kworker/u12:1-ttm            I
801    agetty                       S
1123   psimon                       S
1150   rtkit-daemon                 S
1650   lightdm                      S
1673   systemd                      S
1675   (sd-pam)                     S
1698   dbus-daemon                  S
1699   pipewire                     S
1701   gnome-keyring-d              S
1702   mpris-proxy                  S
1703   wireplumber                  S
1704   pipewire                     S
1705   pipewire-pulse               S
1718   xfce4-session                S
1783   VBoxClient                   S
1785   VBoxClient                   S
1792   VBoxClient                   S
1793   VBoxClient                   S
1799   VBoxClient                   S
1801   VBoxClient                   S
1832   at-spi-bus-laun              S
1839   dbus-daemon                  S
1849   at-spi2-registr              S
1861   VBoxClient                   S
1862   VBoxClient                   S
1863   ssh-agent                    S
1870   kworker/u13:1-ttm            I
1876   gpg-agent                    S
1879   xfwm4                        S
1884   gvfsd                        S
1890   gvfsd-fuse                   S
1899   xfsettingsd                  S
1905   dconf-service                S
1906   xfce4-panel                  S
1915   Thunar                       S
1922   xfdesktop                    S
1924   wrapper-2.0                  S
1934   xiccd                        S
1935   xfce4-screensav              S
1936   xcape                        S
1939   nm-applet                    S
1940   xfce4-power-man              S
1947   colord                       S
1951   blueman-applet               S
1954   xfce4-notifyd                S
1970   polkit-mate-aut              S
2036   wrapper-2.0                  S
2038   wrapper-2.0                  S
2039   wrapper-2.0                  S
2040   wrapper-2.0                  S
2041   wrapper-2.0                  S
2042   wrapper-2.0                  S
2043   upowerd                      S
2106   wrapper-2.0                  S
2127   gvfs-udisks2-vo              S
2135   udisksd                      S
2150   gvfs-gphoto2-vo              S
2158   gvfs-afc-volume              S
2166   gvfs-goa-volume              S
2171   gvfs-mtp-volume              S
2180   gvfsd-metadata               S
2185   gvfsd-trash                  S
2198   obexd                        S
2223   qterminal                    R
2225   xdg-desktop-por              S
2231   xdg-permission-              S
2240   xdg-document-po              S
2246   fusermount3                  S
2251   xdg-desktop-por              S
2261   zsh                          S
2376   kworker/u10:1-events_unbound I
3011   kworker/0:0-events           I
3157   kworker/u9:0-flush-8:0       I
3274   kworker/u9:1-ext4-rsv-conversion I
3468   kworker/0:2-ata_sff          I
3534   kworker/0:1-ata_sff          I
3561   mypsx                        R
3562   tee                          S
